title,author,publisher,page,language,discount_rate,discounted_price,price,rating,reviews,cover,paper,isbn,date,link,image;
İnsanın Anlam Arayışı,Viktor Emil Frankl,OKUYAN US YAYIN,170,TÜRKÇE,% 48,25.85,49.50,5,1830,Karton Kapak,Kitap Kağıdı,9786054054206,2019-09-19,https://www.kitapyurdu.com/kitap/insanin-anlam-arayisi/131878.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9780093/wi:100/wh:true;
Siddhartha (Ciltsiz),Hermann Hesse,CAN YAYINLARI,152,TÜRKÇE,% 48,17.60,34.00,5,3040,Karton Kapak,Kitap Kağıdı,9789750719394,2019-06-28,https://www.kitapyurdu.com/kitap/siddhartha-ciltsiz/67782.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11260682/wi:100/wh:true;
İnsan Olmak,Engin Geçtan,METİS YAYINLARI,192,TÜRKÇE,% 25,27.00,36.00,5,1598,Karton Kapak,Kitap Kağıdı,9789753423984,2021-05-21,https://www.kitapyurdu.com/kitap/insan-olmak/50667.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11478344/wi:100/wh:true;
Gülün Adı (Ciltsiz),Umberto Eco,CAN YAYINLARI,732,TÜRKÇE,% 48,47.01,90.00,5,2608,Karton Kapak,Kitap Kağıdı,9789750732737,2019-09-12,https://www.kitapyurdu.com/kitap/gulun-adi-ciltsiz/10227.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11373991/wi:100/wh:true;
Ezbere Yaşayanlar & Vazgeçemediğimiz Alışkanlıklarımızın Kökenleri,Emrah Safa Gürkan,KRONİK KİTAP,400,TÜRKÇE,% 38,30.98,50.00,5,126,Karton Kapak,Kitap Kağıdı,9786258431131,2022-01-10,https://www.kitapyurdu.com/kitap/ezbere-yasayanlar-amp-vazgecemedigimiz-aliskanliklarimizin-kokenleri/605078.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11505303/wi:100/wh:true;
Puslu Kıtalar Atlası,İhsan Oktay Anar,İLETİŞİM YAYINLARI,238,TÜRKÇE,% 27,35.14,48.00,5,4646,Karton Kapak,Kitap Kağıdı,9789754704723,2021-06-02,https://www.kitapyurdu.com/kitap/puslu-kitalar-atlasi/1650.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11422412/wi:100/wh:true;
Camdaki Kız,Dr. Gülseren Budayıcıoğlu,DOĞAN KİTAP,352,TÜRKÇE,% 40,39.47,66.00,5,1738,Karton Kapak,Kitap Kağıdı,9786050959628,2019-03-21,https://www.kitapyurdu.com/kitap/camdaki-kiz/495386.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8223292/wi:100/wh:true;
Okçu'nun Yolu,Paulo Coelho,CAN YAYINLARI,168,TÜRKÇE,% 58,17.24,41.00,4,158,Karton Kapak,Kitap Kağıdı,9789750751363,2021-09-23,https://www.kitapyurdu.com/kitap/okcunun-yolu/592512.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11469968/wi:100/wh:true;
101 Deyim 101 Öykü,Süleyman Bulut,CAN ÇOCUK YAYINLARI,204,TÜRKÇE,% 71,9.99,35.00,5,655,Karton Kapak,Kitap Kağıdı,9789750724718,2019-03-19,https://www.kitapyurdu.com/kitap/101-deyim-101-oyku/392721.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11473058/wi:100/wh:true;
İnce Memed 2,Yaşar Kemal,YAPI KREDİ YAYINLARI,459,TÜRKÇE,% 40,28.77,48.00,5,2045,Karton Kapak,Kitap Kağıdı,9789750807176,2020-02-27,https://www.kitapyurdu.com/kitap/ince-memed-2/57301.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:100877/wi:100/wh:true;
Nohut Adam,Anıl Basılı,TİMAŞ ÇOCUK YAYINLARI,64,TÜRKÇE,% 30,15.74,22.50,5,310,Karton Kapak,Kitap Kağıdı,9786050834475,2020-10-02,https://www.kitapyurdu.com/kitap/nohut-adam/557727.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11467783/wi:100/wh:true;
Martıya Uçmayı Öğreten Kedi,Luis Sepulveda,CAN ÇOCUK YAYINLARI,128,TÜRKÇE,% 61,10.89,28.00,5,746,Karton Kapak,Kitap Kağıdı,9789755109428,2021-09-24,https://www.kitapyurdu.com/kitap/martiya-ucmayi-ogreten-kedi/16956.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11477619/wi:100/wh:true;
Son Ada,Zülfü Livaneli,DOĞAN KİTAP,200,TÜRKÇE,% 37,17.13,27.00,5,3111,Karton Kapak,Kitap Kağıdı,9786050916362,2016-01-22,https://www.kitapyurdu.com/kitap/son-ada/315716.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:82270/wi:100/wh:true;
İçimdeki Müzik ,Sharon M. Draper,TİMAŞ GENÇ,256,TÜRKÇE,% 39,23.94,39.00,5,2282,Karton Kapak,Kitap Kağıdı,9786050822038,2020-02-10,https://www.kitapyurdu.com/kitap/icimdeki-muzik-/389502.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11467802/wi:100/wh:true;
Yakın Tarihin Gerçekleri,Prof. Dr. İlber Ortaylı,KRONİK KİTAP,352,TÜRKÇE,% 37,34.79,55.00,5,185,Karton Kapak,Kitap Kağıdı,9786057635983,2021-03-23,https://www.kitapyurdu.com/kitap/yakin-tarihin-gercekleri/576542.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11388888/wi:100/wh:true;
Allah’ım Ben Geldim,Hatice Kübra Tongar,HAYY KİTAP,144,TÜRKÇE,% 40,19.20,32.00,4,1109,Karton Kapak,Kitap Kağıdı,9786057674685,2020-03-03,https://www.kitapyurdu.com/kitap/allahim-ben-geldim/533435.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11071024/wi:100/wh:true;
Masumiyet Müzesi,Orhan Pamuk,YAPI KREDİ YAYINLARI,465,TÜRKÇE,% 40,41.96,70.00,4,1998,Karton Kapak,Kitap Kağıdı,9789750826146,2019-10-25,https://www.kitapyurdu.com/kitap/masumiyet-muzesi/317427.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:53812/wi:100/wh:true;
Son Cüret,Yılmaz Özdil,SİA KİTAP,456,TÜRKÇE,% 70,15.60,52.00,5,447,Karton Kapak,Kitap Kağıdı,9786254440489,2020-10-08,https://www.kitapyurdu.com/kitap/son-curet/556694.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11282764/wi:100/wh:true;
Kraliçeyi Kurtarmak,Vladimir Tumanov,GÜNIŞIĞI KİTAPLIĞI,160,TÜRKÇE,% 40,20.98,35.00,5,1269,Karton Kapak,Kitap Kağıdı,9786059952767,2019-10-14,https://www.kitapyurdu.com/kitap/kraliceyi-kurtarmak/58695.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:2953601/wi:100/wh:true;
Uzun Hikaye,Mustafa Kutlu,DERGAH YAYINLARI,115,TÜRKÇE,% 35,14.30,22.00,5,3048,Karton Kapak,Kitap Kağıdı,9789759953331,2012-10-01,https://www.kitapyurdu.com/kitap/uzun-hikaye/19088.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:60346/wi:100/wh:true;
İslamın Dirilişi,Sezai Karakoç,DİRİLİŞ YAYINLARI,68,TÜRKÇE,% 36,15.90,25.00,5,1543,Karton Kapak,Kitap Kağıdı,9789123504985,2017-02-09,https://www.kitapyurdu.com/kitap/islamin-dirilisi/6514.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:3156126/wi:100/wh:true;
İFA: İnsanın Fabrika Ayarları 1.Kitap / Beden,Sinan Canan,TUTİ KİTAP,184,TÜRKÇE,% 30,35.00,50.00,5,501,Karton Kapak,Kitap Kağıdı,9786059218603,2019-10-16,https://www.kitapyurdu.com/kitap/ifa-insanin-fabrika-ayarlari-1kitap--beden/517231.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9963055/wi:100/wh:true;
Bu Ülke,Cemil Meriç,İLETİŞİM YAYINLARI,339,TÜRKÇE,% 27,45.38,62.00,5,3243,Karton Kapak,3. Hm. Kağıt,9789754702811,2021-10-04,https://www.kitapyurdu.com/kitap/bu-ulke/18263.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11460549/wi:100/wh:true;
Empedokles'in Dostları,Amin Maalouf,YAPI KREDİ YAYINLARI,216,TÜRKÇE,% 34,21.12,32.00,4,234,Karton Kapak,Kitap Kağıdı,9789750848940,2021-02-04,https://www.kitapyurdu.com/kitap/empedoklesin-dostlari/570593.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11352997/wi:100/wh:true;
Fabrika Ayarı,Hayati İnanç,PROFİL KİTAP,160,TÜRKÇE,% 33,23.50,35.00,5,1536,Karton Kapak,Kitap Kağıdı,9786057525826,2020-09-04,https://www.kitapyurdu.com/kitap/fabrika-ayari/528784.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11477432/wi:100/wh:true;
101 Atasözü 101 Öykü,Süleyman Bulut,CAN ÇOCUK YAYINLARI,200,TÜRKÇE,% 48,18.07,35.00,5,730,Karton Kapak,Kitap Kağıdı,9789750724701,2019-03-01,https://www.kitapyurdu.com/kitap/101-atasozu-101-oyku/392720.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11473202/wi:100/wh:true;
Hayvan Çiftliği,George Orwell,KAPRA YAYINCILIK,96,TÜRKÇE,% 46,4.90,9.00,5,201,Karton Kapak,Kitap Kağıdı,9786257300100,2021-01-05,https://www.kitapyurdu.com/kitap/hayvan-ciftligi/567809.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11338357/wi:100/wh:true;
