title,author,publisher,page,language,discount_rate,discounted_price,price,rating,reviews,cover,paper,isbn,date,link,image;
Disney - Esrarengiz Kasaba - Dipper ve Mabel’in Gizem Rehberi İle Aralıksız Eğlence!,Rob Renzetti,BETA KIDS,160,TÜRKÇE,% 34,44.88,68.00,5,39,Karton Kapak,1. Hm. Kağıt,9786052426043,2021-12-18,https://www.kitapyurdu.com/kitap/disney--esrarengiz-kasaba--dipper-ve-mabelin-gizem-rehberi-ile-araliksiz-eglence/534134.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11316013/wi:100/wh:true;
Yukarı Mahalle,John Steinbeck,SEL YAYINCILIK,192,TÜRKÇE,% 34,26.40,40.00,5,157,Karton Kapak,Kitap Kağıdı,9789755709079,2018-01-29,https://www.kitapyurdu.com/kitap/yukari-mahalle/448109.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11301898/wi:100/wh:true;
Eski Türk Edebiyatı Tarihi (Edebiyat Tarihi-Metinler),Mine Mengi,AKÇAĞ YAYINLARI,435,TÜRKÇE,% 40,42.00,70.00,5,114,Karton Kapak,Kitap Kağıdı,9789753380416,2019-07-23,https://www.kitapyurdu.com/kitap/eski-turk-edebiyati-tarihi-edebiyat-tarihimetinler/2805.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9339101/wi:100/wh:true;
Ankara, Mon Amour !,Şükran Yiğit,İLETİŞİM YAYINLARI,167,TÜRKÇE,% 27,28.55,39.00,5,49,Karton Kapak,3. Hm. Kağıt,9789750501159,2021-01-12,https://www.kitapyurdu.com/kitap/ankara-mon-amour-/50865.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11344829/wi:100/wh:true;
Yobazlıklar,Roger Garaudy,TİMAŞ YAYINLARI,192,TÜRKÇE,% 30,31.50,45.00,5,117,Karton Kapak,Kitap Kağıdı,9786050827309,2019-03-04,https://www.kitapyurdu.com/kitap/yobazliklar/485479.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:7568689/wi:100/wh:true;
Agatha Christie / Küçük İnsanlar Büyük Hayaller,Maria Isabel Sanchez Vegara,MARTI ÇOCUK YAYINLARI,32,TÜRKÇE,% 45,13.75,25.00,5,53,Karton Kapak,Kitap Kağıdı,9786051867571,2020-09-11,https://www.kitapyurdu.com/kitap/agatha-christie--kucuk-insanlar-buyuk-hayaller/471998.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11373063/wi:100/wh:true;
Operadaki Hayalete Karşı / Özel Dedektif Bogart,Zeynep Alpaslan,FİNAL KÜLTÜR SANAT YAYINLARI,80,TÜRKÇE,% 33,10.67,16.00,0,0,Karton Kapak,Kitap Kağıdı,9786257688109,2021-03-31,https://www.kitapyurdu.com/kitap/operadaki-hayalete-karsi--ozel-dedektif-bogart/577563.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11394665/wi:100/wh:true;
Poetika & Şiir Sanatı Üstüne ,Aristoteles (Aristo),CAN YAYINLARI,112,TÜRKÇE,% 40,11.97,20.00,5,53,Karton Kapak,Kitap Kağıdı,9789750738852,2018-12-11,https://www.kitapyurdu.com/kitap/poetika-amp-siir-sanati-ustune-/485373.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11348578/wi:100/wh:true;
Kış Uykusu Oteli,Thomas Krüger,TİMAŞ ÇOCUK YAYINLARI,24,TÜRKÇE,% 30,24.50,35.00,5,48,Karton Kapak,Kitap Kağıdı,9786050830088,2019-03-07,https://www.kitapyurdu.com/kitap/kis-uykusu-oteli/495958.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11150819/wi:100/wh:true;
Benim Kılavuzum Kur’an,Ramazan Batmaz,SÜEDA,64,TÜRKÇE,% 22,19.50,25.00,0,0,Karton Kapak,Kitap Kağıdı,9786257575034,2022-01-12,https://www.kitapyurdu.com/kitap/benim-kilavuzum-kuran/605412.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11506837/wi:100/wh:true;
AYT Edebiyat Soru Bankası,Feyzullah Çelikbağ,LİMİT YAYINLARI,480,TÜRKÇE,% 46,70.59,130.00,5,97,Karton Kapak,1. Hm. Kağıt,9786052750926,2019-02-20,https://www.kitapyurdu.com/kitap/ayt-edebiyat-soru-bankasi/494405.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8136069/wi:100/wh:true;
Kara Panter,Okay Tiryakioğlu,TİMAŞ GENÇ,160,TÜRKÇE,% 30,21.00,30.00,5,36,Karton Kapak,Kitap Kağıdı,9786050834352,2020-09-09,https://www.kitapyurdu.com/kitap/kara-panter/553826.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11272269/wi:100/wh:true;
Zizi Dedektif Öyküleri Yazıyor,Zeynep Alpaslan,FİNAL KÜLTÜR SANAT YAYINLARI,104,TÜRKÇE,% 33,17.68,26.50,5,8,Karton Kapak,Kitap Kağıdı,9786053748939,2018-11-22,https://www.kitapyurdu.com/kitap/zizi-dedektif-oykuleri-yaziyor/483634.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:7464521/wi:100/wh:true;
Pasta: Bir Kaçış Hikayesi,Sue Hendra,PEARSON YAYINLARI,32,TÜRKÇE,% 25,52.13,69.50,5,72,Karton Kapak,Kitap Kağıdı,9786059610582,2019-02-19,https://www.kitapyurdu.com/kitap/pasta-bir-kacis-hikayesi/494186.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8123592/wi:100/wh:true;
Canı Sıkılan Çocuklar İçin Ev Yapımı Oyunlar,Hatice Kübra Tongar,HAYY KİTAP,96,TÜRKÇE,% 48,28.46,55.00,4,9,Karton Kapak,Kuşe Kağıt,9786257909617,2020-08-04,https://www.kitapyurdu.com/kitap/cani-sikilan-cocuklar-icin-ev-yapimi-oyunlar/547759.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11256142/wi:100/wh:true;
Bilinçli Ebeveyn Çocuğunu Nasıl Yetiştirir?,Dr. Shefali Tsabary,KURALDIŞI YAYINLARI,376,TÜRKÇE,% 30,37.80,54.00,5,176,Karton Kapak,Kitap Kağıdı,9789752753754,2020-09-14,https://www.kitapyurdu.com/kitap/bilincli-ebeveyn-cocugunu-nasil-yetistirir/436442.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:4606277/wi:100/wh:true;
Arkadaşım Kirpi,Bilgin Adalı,FOM KİTAP,48,TÜRKÇE,% 35,14.30,22.00,5,28,Karton Kapak,Kitap Kağıdı,9786059166331,2019-07-16,https://www.kitapyurdu.com/kitap/arkadasim-kirpi/417360.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9280690/wi:100/wh:true;
Eski Türkler,Lev Nikolayeviç Gumilöv,SELENGE YAYINLARI,592,TÜRKÇE,% 20,64.00,80.00,5,94,Karton Kapak,1. Hm. Kağıt,9789758839056,2002-03-13,https://www.kitapyurdu.com/kitap/eski-turkler/18571.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9449958/wi:100/wh:true;
Kızıl Kahkaha & Bulunmuş Bir Elyazmasından Parçalar,Leonid Andreyev,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,80,TÜRKÇE,% 35,5.85,9.00,5,284,Karton Kapak,Kitap Kağıdı,9786052958872,2019-11-16,https://www.kitapyurdu.com/kitap/kizil-kahkaha-amp-bulunmus-bir-elyazmasindan-parcalar/510480.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:9403466/wi:100/wh:true;
Tombul Yürek,Susanna Tamaro,CAN ÇOCUK YAYINLARI,144,TÜRKÇE,% 47,18.18,34.00,5,59,Karton Kapak,Kitap Kağıdı,9789750709579,2019-04-03,https://www.kitapyurdu.com/kitap/tombul-yurek/113920.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11463355/wi:100/wh:true;
Patlak Zeka Cemcan 7 / Topçu Mu Popçu Mu (Ciltli),Birsen Ekim Özen,TİMAŞ ÇOCUK YAYINLARI,160,TÜRKÇE,% 30,33.24,47.50,5,11,Karton Kapak,Kitap Kağıdı,9786050835496,2021-01-08,https://www.kitapyurdu.com/kitap/patlak-zeka-cemcan-7--topcu-mu-popcu-mu-ciltli/567187.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11452811/wi:100/wh:true;
Tarihi Türk Lehçeleri Çağatay Türkçesi,Prof. Dr. Mustafa Argunşah,KESİT YAYINLARI,308,TÜRKÇE,% 20,52.80,66.00,5,54,Karton Kapak,Kitap Kağıdı,9786054646449,2013-09-25,https://www.kitapyurdu.com/kitap/tarihi-turk-lehceleri-cagatay-turkcesi/318559.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:253954/wi:100/wh:true;
Bidur Durmazgilin Maceraları - Gece Yarısı Ziyaretçisi,Alaaddin Beken,TİMAŞ ÇOCUK YAYINLARI,160,TÜRKÇE,% 29,33.96,47.50,5,31,Ciltli,Kitap Kağıdı,9786050838503,2021-04-07,https://www.kitapyurdu.com/kitap/bidur-durmazgilin-maceralari--gece-yarisi-ziyaretcisi/578510.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11397709/wi:100/wh:true;
Tahura,H. Nur Artıran,SUFİ KİTAP YAYINLARI,352,TÜRKÇE,% 27,40.00,55.00,5,31,Karton Kapak,Kitap Kağıdı,9786257949330,2021-04-29,https://www.kitapyurdu.com/kitap/tahura/580505.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11407343/wi:100/wh:true;
2021 TYT Dil Bilgisini Kafala Soru Bankası,Öznur Saat Yıldırım,HOCA KAFASI YAYINLARI,448,TÜRKÇE,% 28,57.60,80.00,5,15,Karton Kapak,1. Hm. Kağıt,9786257248020,2020-10-20,https://www.kitapyurdu.com/kitap/2021-tyt-dil-bilgisini-kafala-soru-bankasi/559753.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11480253/wi:100/wh:true;
Genç Yazarlar İçin Hikaye Anlatıcılığı Kılavuzu,Celil Oker,ALTIN KİTAPLAR,104,TÜRKÇE,% 36,12.80,20.00,5,148,Karton Kapak,Kitap Kağıdı,9789752123700,2018-06-04,https://www.kitapyurdu.com/kitap/genc-yazarlar-icin-hikaye-anlaticiligi-kilavuzu/450559.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5382971/wi:100/wh:true;
Candide (Cep Boy) (Tam Metin),Voltaire,KARBON KİTAPLAR,139,TÜRKÇE,% 44,3.90,7.00,5,109,Karton Kapak,Kitap Kağıdı,9786057829665,2019-05-24,https://www.kitapyurdu.com/kitap/candide-cep-boy-tam-metin/505395.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11435726/wi:100/wh:true;
Neden? & Neden Sorusunun Peşinde Masal, Bilim ve Oyun Yolculuğu ,Senem Donatan Mohan,PARAŞÜT KİTAP,64,TÜRKÇE,% 33,23.30,35.00,5,17,Karton Kapak,1. Hm. Kağıt,9786058038943,2020-10-12,https://www.kitapyurdu.com/kitap/neden-amp-neden-sorusunun-pesinde-masal-bilim-ve-oyun-yolculugu-/558851.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11292532/wi:100/wh:true;
Cennete Giden Yollar,Ahmet Bulut,ENSAR NEŞRİYAT,168,TÜRKÇE,% 35,16.23,25.00,5,8,Karton Kapak,Kitap Kağıdı,9786057619761,2021-04-28,https://www.kitapyurdu.com/kitap/cennete-giden-yollar/535607.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11407289/wi:100/wh:true;
Dahiler Sınıfı: Nikola Tesla Geleceği Keşfeden Adam,Daniele Aristarco,DOMİNGO YAYINEVİ,80,TÜRKÇE,% 37,22.77,36.00,5,49,Karton Kapak,Kitap Kağıdı,9786051980829,2019-04-10,https://www.kitapyurdu.com/kitap/dahiler-sinifi-nikola-tesla-gelecegi-kesfeden-adam/499257.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8530310/wi:100/wh:true;
Anahatlarıyla Yahudilik,Salime Leyla Gürkan,İSAM / İSLAM ARAŞTIRMALARI MERKEZİ,226,TÜRKÇE,% 20,24.00,30.00,5,54,Karton Kapak,Kitap Kağıdı,9789753898973,unknown,https://www.kitapyurdu.com/kitap/anahatlariyla-yahudilik/144100.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1106842/wi:100/wh:true;
National Geographic Kids -İlk Uzay Kitabım,Catherine D. Hughes,BETA KIDS,128,TÜRKÇE,% 30,55.64,79.50,5,64,Karton Kapak,Kitap Kağıdı,9786053333265,2020-05-12,https://www.kitapyurdu.com/kitap/national-geographic-kids-ilk-uzay-kitabim/304459.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11223898/wi:100/wh:true;
Tatlı Perşembe,John Steinbeck,SEL YAYINCILIK,263,TÜRKÇE,% 35,29.22,45.00,5,180,Karton Kapak,Kitap Kağıdı,9789755706436,2019-04-30,https://www.kitapyurdu.com/kitap/tatli-persembe/315877.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11473722/wi:100/wh:true;
Bulutunu Arayan Su Damlası,Tülin Kozikoğlu,REDHOUSE KIDZ YAYINLARI,40,TÜRKÇE,% 30,27.84,40.00,5,87,Karton Kapak,Kitap Kağıdı,9786054119318,2013-04-10,https://www.kitapyurdu.com/kitap/bulutunu-arayan-su-damlasi/300201.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:160877/wi:100/wh:true;
Carl ve Yaşamın Anlamı ,Deborah Freedman,KURALDIŞI YAYINLARI,48,TÜRKÇE,% 30,41.30,59.00,5,40,Karton Kapak,Kitap Kağıdı,9789752754294,2019-06-01,https://www.kitapyurdu.com/kitap/carl-ve-yasamin-anlami-/505742.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:8923600/wi:100/wh:true;
Kadın Olmak & İslam, Gelenek, Modernlik ve Ötesi,H. Şule Albayrak,İZ YAYINCILIK,432,TÜRKÇE,% 34,44.88,68.00,5,23,Karton Kapak,Kitap Kağıdı,9786053264057,2019-10-26,https://www.kitapyurdu.com/kitap/kadin-olmak-amp-islam-gelenek-modernlik-ve-otesi/514031.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10098819/wi:100/wh:true;
Yazıyı Bulan Çocuk (Ciltli),Sinan Yaşar,FOM KİTAP,120,TÜRKÇE,% 41,31.96,54.00,5,13,Ciltli,Kitap Kağıdı,9786059166775,2020-09-29,https://www.kitapyurdu.com/kitap/yaziyi-bulan-cocuk-ciltli/557058.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11284628/wi:100/wh:true;
Cehennem Çiçeği / Bir Kamu Davası 2,Alper Canıgüz,ALFA YAYINLARI,220,TÜRKÇE,% 31,20.01,29.00,5,6,Karton Kapak,Kitap Kağıdı,9786254490989,2021-09-04,https://www.kitapyurdu.com/kitap/cehennem-cicegi--bir-kamu-davasi-2/594739.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11461086/wi:100/wh:true;
Hep Fazlasıdır Annem,Özge Bahar Sunar,REDHOUSE KIDZ YAYINLARI,28,TÜRKÇE,% 30,23.66,34.00,5,53,Karton Kapak,Kitap Kağıdı,9786052079225,2018-08-15,https://www.kitapyurdu.com/kitap/hep-fazlasidir-annem/471511.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:6754299/wi:100/wh:true;
Çocuk Psikiyatrisi,Prof. Dr. Mücahit Öztürk,UÇURTMA YAYINLARI,520,TÜRKÇE,% 29,66.85,93.50,0,0,Karton Kapak,Kitap Kağıdı,9786057459503,2021-04-06,https://www.kitapyurdu.com/kitap/cocuk-psikiyatrisi/578253.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11397091/wi:100/wh:true;
Çocuk Eğitiminde İdeal Anne Baba,Mehmet Teber,C PLANI YAYINLARI,136,TÜRKÇE,% 31,20.08,29.00,5,21,Karton Kapak,Kitap Kağıdı,9786055900687,2009-11-12,https://www.kitapyurdu.com/kitap/cocuk-egitiminde-ideal-anne-baba/139825.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:108697/wi:100/wh:true;
Peki Ama Neden? / Hayvanlar,Giuliana Rotondi,DOMİNGO YAYINEVİ,56,TÜRKÇE,% 37,20.87,33.00,5,39,Karton Kapak,Kitap Kağıdı,9786051980249,2018-11-27,https://www.kitapyurdu.com/kitap/peki-ama-neden--hayvanlar/445190.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11438976/wi:100/wh:true;
Atilla’nın Atını Çalan Çocuk,Ivan Repila,DERGAH YAYINLARI,87,TÜRKÇE,% 20,16.00,20.00,4,39,Karton Kapak,Kitap Kağıdı,9786257005586,2020-10-06,https://www.kitapyurdu.com/kitap/atillanin-atini-calan-cocuk/558126.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11288857/wi:100/wh:true;
İmparator’un İmgesi & Fatih Sultan Mehmed’in Kamusal İmajı ve İmparatorluk Siyaseti,Gizem Magemizoğlu,SELENGE YAYINLARI,244,TÜRKÇE,% 20,28.00,35.00,5,16,Karton Kapak,Kitap Kağıdı,9786054944859,2021-05-20,https://www.kitapyurdu.com/kitap/imparatorun-imgesi-amp-fatih-sultan-mehmedin-kamusal-imaji-ve-imparatorluk-siyaseti/582119.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11416782/wi:100/wh:true;
Fasa Fiso,Teoman,HEP KİTAP,252,TÜRKÇE,% 34,27.72,42.00,5,132,Karton Kapak,Kitap Kağıdı,9786051921884,2018-04-06,https://www.kitapyurdu.com/kitap/fasa-fiso/456914.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5717330/wi:100/wh:true;
İslam Mezhepleri Tarihi El Kitabı,Kolektif,GRAFİKER YAYINLARI,672,TÜRKÇE,% 18,73.71,90.00,5,169,Karton Kapak,Kitap Kağıdı,9786059247719,2012-09-24,https://www.kitapyurdu.com/kitap/islam-mezhepleri-tarihi-el-kitabi/282395.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:53404/wi:100/wh:true;
Haberci,Halil Cibran,KAPRA YAYINCILIK,60,TÜRKÇE,% 46,4.90,9.00,5,11,Karton Kapak,Kitap Kağıdı,9786257784207,2020-12-21,https://www.kitapyurdu.com/kitap/haberci/566702.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11332497/wi:100/wh:true;
Kuyu ve Sarkaç (Cep Boy) (Tam Metin),Edgar Allan Poe,KARBON KİTAPLAR,68,TÜRKÇE,% 44,3.90,7.00,5,121,Karton Kapak,Kitap Kağıdı,9786057829689,2019-05-24,https://www.kitapyurdu.com/kitap/kuyu-ve-sarkac-cep-boy-tam-metin/505389.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11258871/wi:100/wh:true;
Ortaçağ Batı Uygarlığı,Jacques Le Goff,DOĞU BATI YAYINLARI,454,TÜRKÇE,% 37,41.11,65.00,5,124,Karton Kapak,Kitap Kağıdı,9786055063733,2021-06-03,https://www.kitapyurdu.com/kitap/ortacag-bati-uygarligi/380013.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11422618/wi:100/wh:true;
Üç Silahşör (Karton Kapak),Alexandre Dumas,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,755,TÜRKÇE,% 35,24.70,38.00,5,415,Karton Kapak,Kitap Kağıdı,9789944886253,2019-06-15,https://www.kitapyurdu.com/kitap/uc-silahsor-karton-kapak/130150.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:288329/wi:100/wh:true;
Anlatmak İçin Yaşamak,Gabriel Garcia Marquez,CAN YAYINLARI,564,TÜRKÇE,% 46,45.90,85.00,5,181,Karton Kapak,Kitap Kağıdı,9789750719370,2018-05-17,https://www.kitapyurdu.com/kitap/anlatmak-icin-yasamak/73080.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11356103/wi:100/wh:true;
Coğrafi Keşiflerin İçyüzü,Abdurrahman Dilipak,İNKILAB YAYINLARI,288,TÜRKÇE,% 25,33.75,45.00,4,125,Karton Kapak,Kitap Kağıdı,9789757560142,2017-05-17,https://www.kitapyurdu.com/kitap/cografi-kesiflerin-icyuzu/14807.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:3807368/wi:100/wh:true;
İyiliği Düşünmek,unknown,İLETİŞİM YAYINLARI,238,TÜRKÇE,% 30,37.18,53.00,5,16,Karton Kapak,Kitap Kağıdı,9789750530159,2021-02-11,https://www.kitapyurdu.com/kitap/iyiligi-dusunmek/565436.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11363542/wi:100/wh:true;
Ben’in Gemisi,Pieter Koolwijk,CAN ÇOCUK YAYINLARI,64,TÜRKÇE,% 45,24.03,44.00,5,53,Karton Kapak,Kitap Kağıdı,9789750733468,2019-10-16,https://www.kitapyurdu.com/kitap/benin-gemisi/409977.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11382647/wi:100/wh:true;
Bizans Tarihi,Timothy  E. Gregory,YAPI KREDİ YAYINLARI,360,TÜRKÇE,% 34,34.32,52.00,5,94,Karton Kapak,Kitap Kağıdı,9789750815072,2019-01-25,https://www.kitapyurdu.com/kitap/bizans-tarihi/121209.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1192224/wi:100/wh:true;
Gerçekten ve Yalancıktan / Çıtır Çıtır Felsefe (3. Kitap),Michel Puech,GÜNIŞIĞI KİTAPLIĞI,39,TÜRKÇE,% 30,16.80,24.00,5,109,Karton Kapak,Kitap Kağıdı,9789756227435,2011-01-01,https://www.kitapyurdu.com/kitap/gercekten-ve-yalanciktan--citir-citir-felsefe-3-kitap/88238.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:148015/wi:100/wh:true;
Serenad,Zülfü Livaneli,İNKILAP KİTABEVİ,416,TÜRKÇE,% 29,34.22,48.00,0,0,Karton Kapak,Kitap Kağıdı,9789751042668,2021-11-16,https://www.kitapyurdu.com/kitap/serenad/600068.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11483001/wi:100/wh:true;
Bir Köy Hekimi (Cep Boy) (Tam Metin),Franz Kafka,KARBON KİTAPLAR,68,TÜRKÇE,% 44,3.90,7.00,4,156,Karton Kapak,Kitap Kağıdı,9786057829252,2019-05-24,https://www.kitapyurdu.com/kitap/bir-koy-hekimi-cep-boy-tam-metin/505401.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11435636/wi:100/wh:true;
Katedral,Raymond Carver,CAN YAYINLARI,232,TÜRKÇE,% 34,35.64,54.00,4,40,Karton Kapak,Kitap Kağıdı,9789750722196,2014-07-15,https://www.kitapyurdu.com/kitap/katedral/344306.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11433515/wi:100/wh:true;
Rahel Tanrı'yla Hesaplaşıyor,Stefan Zweig,KAPRA YAYINCILIK,64,TÜRKÇE,% 46,4.90,9.00,5,19,Karton Kapak,Kitap Kağıdı,9786257751247,2020-12-21,https://www.kitapyurdu.com/kitap/rahel-tanriyla-hesaplasiyor/566717.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11332550/wi:100/wh:true;
Olma Sanatı & Oto-Analiz, Öz-Farkındalık ve Meditasyon Üzerine,Erich Fromm,SAY YAYINLARI,176,TÜRKÇE,% 31,27.60,40.00,5,58,Karton Kapak,Kitap Kağıdı,9786050205572,2019-10-31,https://www.kitapyurdu.com/kitap/olma-sanati-amp-otoanaliz-ozfarkindalik-ve-meditasyon-uzerine/412733.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10142245/wi:100/wh:true;
İbn Arabi'nin Fusus'undaki Anahtar-Kavramlar,Toshihiko Izutsu,KAKNÜS YAYINLARI,376,TÜRKÇE,% 31,37.81,55.00,5,87,Karton Kapak,2. Hm. Kağıt,9789759483296,2020-10-16,https://www.kitapyurdu.com/kitap/ibn-arabinin-fususundaki-anahtarkavramlar/23277.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11294897/wi:100/wh:true;
Saçlarında Soru İşaretleri,Sevim Ak,CAN ÇOCUK YAYINLARI,176,TÜRKÇE,% 46,24.30,45.00,4,82,Karton Kapak,Kitap Kağıdı,9789750715556,2019-03-15,https://www.kitapyurdu.com/kitap/saclarinda-soru-isaretleri/285776.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11228443/wi:100/wh:true;
Paul İle Virginie (Karton Kapak),Bernardin De Saint Pierre,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,128,TÜRKÇE,% 37,8.86,14.00,5,79,Karton Kapak,Kitap Kağıdı,9786052959510,2019-10-21,https://www.kitapyurdu.com/kitap/paul-ile-virginie-karton-kapak/518116.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:10020242/wi:100/wh:true;
Muhteşem Osmanlılar,Yusuf Asal,UĞURBÖCEĞİ YAYINLARI,168,TÜRKÇE,% 30,25.20,36.00,5,56,Karton Kapak,Kitap Kağıdı,9786052236154,2018-03-12,https://www.kitapyurdu.com/kitap/muhtesem-osmanlilar/454645.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5630460/wi:100/wh:true;
Kısa İkinci Dünya Savaşı Tarihi,İlkin Başar Özal,TİMAŞ YAYINLARI,624,TÜRKÇE,% 30,52.50,75.00,5,117,Karton Kapak,Kitap Kağıdı,9786050827248,2019-04-30,https://www.kitapyurdu.com/kitap/kisa-ikinci-dunya-savasi-tarihi/487067.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11237428/wi:100/wh:true;
Kuşların ve Yılanların Şarkısı & Açlık Oyunları ,Suzanne Collins,DEX KİTAP,646,TÜRKÇE,% 35,44.85,69.00,5,93,Karton Kapak,Kitap Kağıdı,9786050973877,2020-05-21,https://www.kitapyurdu.com/kitap/kuslarin-ve-yilanlarin-sarkisi-amp-aclik-oyunlari-/541437.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11225620/wi:100/wh:true;
Kıyamet Planı,Murat Akan,HAYAT YAYINLARI,360,TÜRKÇE,% 37,37.96,60.00,5,51,Karton Kapak,Kitap Kağıdı,9786051513249,2020-03-11,https://www.kitapyurdu.com/kitap/kiyamet-plani/535251.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11146634/wi:100/wh:true;
Göz,Stephen King,ALTIN KİTAPLAR,206,TÜRKÇE,% 35,25.98,40.00,4,357,Karton Kapak,3. Hm. Kağıt,9789754054217,2019-03-21,https://www.kitapyurdu.com/kitap/goz/3117.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:1114750/wi:100/wh:true;
Efsuncu Baba,Hüseyin Rahmi Gürpınar,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,84,TÜRKÇE,% 35,5.20,8.00,5,935,Karton Kapak,Kitap Kağıdı,9786052954164,2019-01-08,https://www.kitapyurdu.com/kitap/efsuncu-baba/460907.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:5921378/wi:100/wh:true;
Müthiş Yetenekli Bozayı Marko Bize Taşınıyor,Gerry Boland,REDHOUSE KIDZ YAYINLARI,64,TÜRKÇE,% 30,16.70,24.00,5,13,Karton Kapak,Kitap Kağıdı,9786059781671,2017-01-01,https://www.kitapyurdu.com/kitap/muthis-yetenekli-bozayi-marko-bize-tasiniyor/423388.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:3607566/wi:100/wh:true;
Zihnim Ellerimde - 2,Mehmet İlhan,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY),176,TÜRKÇE,%0,36.00,36.00,0,0,Karton Kapak,Kitap Kağıdı,9786254122194,2021-07-02,https://www.kitapyurdu.com/kitap/zihnim-ellerimde--2/586571.html&path=1,https://img.kitapyurdu.com/v1/getImage/fn:11433594/wi:100/wh:true;
